id,name,content_type_id,codename
301,Can add other drawing and design resubmission attachments,76,add_otherdrawinganddesignresubmissionattachments
376,Can view material qap attachment,94,view_materialqapattachment
302,Can change other drawing and design resubmission attachments,76,change_otherdrawinganddesignresubmissionattachments
303,Can delete other drawing and design resubmission attachments,76,delete_otherdrawinganddesignresubmissionattachments
304,Can view other drawing and design resubmission attachments,76,view_otherdrawinganddesignresubmissionattachments
305,Can add expense tracking,77,add_expensetracking
306,Can change expense tracking,77,change_expensetracking
307,Can delete expense tracking,77,delete_expensetracking
308,Can view expense tracking,77,view_expensetracking
309,Can add drawing and design re submitted actions,78,add_drawinganddesignresubmittedactions
310,Can change drawing and design re submitted actions,78,change_drawinganddesignresubmittedactions
311,Can delete drawing and design re submitted actions,78,delete_drawinganddesignresubmittedactions
312,Can view drawing and design re submitted actions,78,view_drawinganddesignresubmittedactions
313,Can add drawing and design commented actions,79,add_drawinganddesigncommentedactions
314,Can change drawing and design commented actions,79,change_drawinganddesigncommentedactions
315,Can delete drawing and design commented actions,79,delete_drawinganddesigncommentedactions
316,Can view drawing and design commented actions,79,view_drawinganddesigncommentedactions
317,Can add drawing and design approved actions,80,add_drawinganddesignapprovedactions
318,Can change drawing and design approved actions,80,change_drawinganddesignapprovedactions
319,Can delete drawing and design approved actions,80,delete_drawinganddesignapprovedactions
320,Can view drawing and design approved actions,80,view_drawinganddesignapprovedactions
321,Can add project milestone,81,add_projectmilestone
322,Can change project milestone,81,change_projectmilestone
323,Can delete project milestone,81,delete_projectmilestone
324,Can view project milestone,81,view_projectmilestone
325,Can add in flow payment on milestone,82,add_inflowpaymentonmilestone
326,Can change in flow payment on milestone,82,change_inflowpaymentonmilestone
327,Can delete in flow payment on milestone,82,delete_inflowpaymentonmilestone
328,Can view in flow payment on milestone,82,view_inflowpaymentonmilestone
329,Can add third authority adhar card attachments,83,add_thirdauthorityadharcardattachments
330,Can change third authority adhar card attachments,83,change_thirdauthorityadharcardattachments
331,Can delete third authority adhar card attachments,83,delete_thirdauthorityadharcardattachments
332,Can view third authority adhar card attachments,83,view_thirdauthorityadharcardattachments
333,Can add third authority pan card attachments,84,add_thirdauthoritypancardattachments
334,Can change third authority pan card attachments,84,change_thirdauthoritypancardattachments
335,Can delete third authority pan card attachments,84,delete_thirdauthoritypancardattachments
336,Can view third authority pan card attachments,84,view_thirdauthoritypancardattachments
337,Can add client details,85,add_clientdetails
338,Can change client details,85,change_clientdetails
339,Can delete client details,85,delete_clientdetails
340,Can view client details,85,view_clientdetails
341,Can add w o_po,86,add_wo_po
342,Can change w o_po,86,change_wo_po
343,Can delete w o_po,86,delete_wo_po
344,Can view w o_po,86,view_wo_po
345,Can add document management attachments,87,add_documentmanagementattachments
346,Can change document management attachments,87,change_documentmanagementattachments
347,Can delete document management attachments,87,delete_documentmanagementattachments
348,Can view document management attachments,87,view_documentmanagementattachments
349,Can add document management,88,add_documentmanagement
350,Can change document management,88,change_documentmanagement
351,Can delete document management,88,delete_documentmanagement
352,Can view document management,88,view_documentmanagement
353,Can add material gtp attachment,89,add_materialgtpattachment
354,Can change material gtp attachment,89,change_materialgtpattachment
355,Can delete material gtp attachment,89,delete_materialgtpattachment
356,Can view material gtp attachment,89,view_materialgtpattachment
357,Can add inspection of material,90,add_inspectionofmaterial
358,Can change inspection of material,90,change_inspectionofmaterial
359,Can delete inspection of material,90,delete_inspectionofmaterial
360,Can view inspection of material,90,view_inspectionofmaterial
361,Can add inseption of material approval action,91,add_inseptionofmaterialapprovalaction
362,Can change inseption of material approval action,91,change_inseptionofmaterialapprovalaction
363,Can delete inseption of material approval action,91,delete_inseptionofmaterialapprovalaction
364,Can view inseption of material approval action,91,view_inseptionofmaterialapprovalaction
365,Can add material management,92,add_materialmanagement
366,Can change material management,92,change_materialmanagement
367,Can delete material management,92,delete_materialmanagement
368,Can view material management,92,view_materialmanagement
369,Can add material approval action,93,add_materialapprovalaction
370,Can change material approval action,93,change_materialapprovalaction
371,Can delete material approval action,93,delete_materialapprovalaction
372,Can view material approval action,93,view_materialapprovalaction
373,Can add material qap attachment,94,add_materialqapattachment
374,Can change material qap attachment,94,change_materialqapattachment
375,Can delete material qap attachment,94,delete_materialqapattachment
377,Can add material quality report attacchments,95,add_materialqualityreportattacchments
378,Can change material quality report attacchments,95,change_materialqualityreportattacchments
379,Can delete material quality report attacchments,95,delete_materialqualityreportattacchments
380,Can view material quality report attacchments,95,view_materialqualityreportattacchments
381,Can add fire extinguisher inspection,96,add_fireextinguisherinspection
382,Can change fire extinguisher inspection,96,change_fireextinguisherinspection
383,Can delete fire extinguisher inspection,96,delete_fireextinguisherinspection
384,Can view fire extinguisher inspection,96,view_fireextinguisherinspection
385,Can add training topic,97,add_trainingtopic
386,Can change training topic,97,change_trainingtopic
387,Can delete training topic,97,delete_trainingtopic
388,Can view training topic,97,view_trainingtopic
389,Can add boom lift inspection,98,add_boomliftinspection
390,Can change boom lift inspection,98,change_boomliftinspection
391,Can delete boom lift inspection,98,delete_boomliftinspection
392,Can view boom lift inspection,98,view_boomliftinspection
393,Can add crane hydra inspections,99,add_cranehydrainspections
394,Can change crane hydra inspections,99,change_cranehydrainspections
395,Can delete crane hydra inspections,99,delete_cranehydrainspections
396,Can view crane hydra inspections,99,view_cranehydrainspections
397,Can add excavation permit,100,add_excavationpermit
398,Can change excavation permit,100,change_excavationpermit
399,Can delete excavation permit,100,delete_excavationpermit
400,Can view excavation permit,100,view_excavationpermit
401,Can add fire extinguisher detail,101,add_fireextinguisherdetail
402,Can change fire extinguisher detail,101,change_fireextinguisherdetail
403,Can delete fire extinguisher detail,101,delete_fireextinguisherdetail
404,Can view fire extinguisher detail,101,view_fireextinguisherdetail
405,Can add fire extinguisher inspection json format,102,add_fireextinguisherinspectionjsonformat
406,Can change fire extinguisher inspection json format,102,change_fireextinguisherinspectionjsonformat
407,Can delete fire extinguisher inspection json format,102,delete_fireextinguisherinspectionjsonformat
408,Can view fire extinguisher inspection json format,102,view_fireextinguisherinspectionjsonformat
409,Can add first aid record,103,add_firstaidrecord
410,Can change first aid record,103,change_firstaidrecord
411,Can delete first aid record,103,delete_firstaidrecord
412,Can view first aid record,103,view_firstaidrecord
413,Can add harness inspection,104,add_harnessinspection
414,Can change harness inspection,104,change_harnessinspection
415,Can delete harness inspection,104,delete_harnessinspection
416,Can view harness inspection,104,view_harnessinspection
417,Can add incident near miss,105,add_incidentnearmiss
418,Can change incident near miss,105,change_incidentnearmiss
419,Can delete incident near miss,105,delete_incidentnearmiss
420,Can view incident near miss,105,view_incidentnearmiss
421,Can add approve incident near miss,106,add_approveincidentnearmiss
422,Can change approve incident near miss,106,change_approveincidentnearmiss
423,Can delete approve incident near miss,106,delete_approveincidentnearmiss
424,Can view approve incident near miss,106,view_approveincidentnearmiss
425,Can add induction training,107,add_inductiontraining
426,Can change induction training,107,change_inductiontraining
427,Can delete induction training,107,delete_inductiontraining
428,Can view induction training,107,view_inductiontraining
429,Can add internal audit report,108,add_internalauditreport
430,Can change internal audit report,108,change_internalauditreport
431,Can delete internal audit report,108,delete_internalauditreport
432,Can view internal audit report,108,view_internalauditreport
433,Can add mock drill report,109,add_mockdrillreport
434,Can change mock drill report,109,change_mockdrillreport
435,Can delete mock drill report,109,delete_mockdrillreport
436,Can view mock drill report,109,view_mockdrillreport
437,Can add participant,110,add_participant
438,Can change participant,110,change_participant
439,Can delete participant,110,delete_participant
440,Can view participant,110,view_participant
441,Can add permit to work,111,add_permittowork
442,Can change permit to work,111,change_permittowork
443,Can delete permit to work,111,delete_permittowork
444,Can view permit to work,111,view_permittowork
445,Can add closure of permit,112,add_closureofpermit
446,Can change closure of permit,112,change_closureofpermit
447,Can delete closure of permit,112,delete_closureofpermit
448,Can view closure of permit,112,view_closureofpermit
449,Can add approve permit,113,add_approvepermit
450,Can change approve permit,113,change_approvepermit
451,Can delete approve permit,113,delete_approvepermit
452,Can view approve permit,113,view_approvepermit
453,Can add report of incident nearmiss,114,add_reportofincidentnearmiss
454,Can change report of incident nearmiss,114,change_reportofincidentnearmiss
455,Can delete report of incident nearmiss,114,delete_reportofincidentnearmiss
456,Can view report of incident nearmiss,114,view_reportofincidentnearmiss
457,Can add review incident near miss,115,add_reviewincidentnearmiss
458,Can change review incident near miss,115,change_reviewincidentnearmiss
459,Can delete review incident near miss,115,delete_reviewincidentnearmiss
460,Can view review incident near miss,115,view_reviewincidentnearmiss
461,Can add safety training attendance,116,add_safetytrainingattendance
462,Can change safety training attendance,116,change_safetytrainingattendance
463,Can delete safety training attendance,116,delete_safetytrainingattendance
464,Can view safety training attendance,116,view_safetytrainingattendance
465,Can add safety violation report against unsafe act,117,add_safetyviolationreportagainstunsafeact
466,Can change safety violation report against unsafe act,117,change_safetyviolationreportagainstunsafeact
467,Can delete safety violation report against unsafe act,117,delete_safetyviolationreportagainstunsafeact
468,Can view safety violation report against unsafe act,117,view_safetyviolationreportagainstunsafeact
469,Can add toollbox talk attendence,118,add_toollboxtalkattendence
470,Can change toollbox talk attendence,118,change_toollboxtalkattendence
471,Can delete toollbox talk attendence,118,delete_toollboxtalkattendence
472,Can view toollbox talk attendence,118,view_toollboxtalkattendence
473,Can add trailer inspection checklist,119,add_trailerinspectionchecklist
474,Can change trailer inspection checklist,119,change_trailerinspectionchecklist
475,Can delete trailer inspection checklist,119,delete_trailerinspectionchecklist
476,Can view trailer inspection checklist,119,view_trailerinspectionchecklist
477,Can add ladder inspection,120,add_ladderinspection
478,Can change ladder inspection,120,change_ladderinspection
479,Can delete ladder inspection,120,delete_ladderinspection
480,Can view ladder inspection,120,view_ladderinspection
481,Can add suggestion scheme report,121,add_suggestionschemereport
482,Can change suggestion scheme report,121,change_suggestionschemereport
483,Can delete suggestion scheme report,121,delete_suggestionschemereport
484,Can view suggestion scheme report,121,view_suggestionschemereport
485,Can add loto register,122,add_lotoregister
486,Can change loto register,122,change_lotoregister
487,Can delete loto register,122,delete_lotoregister
488,Can view loto register,122,view_lotoregister
489,Can add loto applied info,123,add_lotoappliedinfo
490,Can change loto applied info,123,change_lotoappliedinfo
491,Can delete loto applied info,123,delete_lotoappliedinfo
492,Can view loto applied info,123,view_lotoappliedinfo
493,Can add minutes safety training,124,add_minutessafetytraining
494,Can change minutes safety training,124,change_minutessafetytraining
495,Can delete minutes safety training,124,delete_minutessafetytraining
496,Can view minutes safety training,124,view_minutessafetytraining
497,Can add closure internal audit report,125,add_closureinternalauditreport
498,Can change closure internal audit report,125,change_closureinternalauditreport
499,Can delete closure internal audit report,125,delete_closureinternalauditreport
500,Can view closure internal audit report,125,view_closureinternalauditreport
501,Can add correction internal audit report,126,add_correctioninternalauditreport
502,Can change correction internal audit report,126,change_correctioninternalauditreport
503,Can delete correction internal audit report,126,delete_correctioninternalauditreport
504,Can view correction internal audit report,126,view_correctioninternalauditreport
505,Can add verification internal audit report,127,add_verificationinternalauditreport
506,Can change verification internal audit report,127,change_verificationinternalauditreport
507,Can delete verification internal audit report,127,delete_verificationinternalauditreport
508,Can view verification internal audit report,127,view_verificationinternalauditreport
509,Can add approver approve permit,128,add_approverapprovepermit
510,Can change approver approve permit,128,change_approverapprovepermit
511,Can delete approver approve permit,128,delete_approverapprovepermit
512,Can view approver approve permit,128,view_approverapprovepermit
513,Can add issue approve permit,129,add_issueapprovepermit
514,Can change issue approve permit,129,change_issueapprovepermit
515,Can delete issue approve permit,129,delete_issueapprovepermit
516,Can view issue approve permit,129,view_issueapprovepermit
517,Can add receiver approve permit,130,add_receiverapprovepermit
518,Can change receiver approve permit,130,change_receiverapprovepermit
519,Can delete receiver approve permit,130,delete_receiverapprovepermit
520,Can view receiver approve permit,130,view_receiverapprovepermit
521,Can add observation,131,add_observation
522,Can change observation,131,change_observation
523,Can delete observation,131,delete_observation
524,Can view observation,131,view_observation
525,Can add mdcc upload,132,add_mdccupload
526,Can change mdcc upload,132,change_mdccupload
527,Can delete mdcc upload,132,delete_mdccupload
528,Can view mdcc upload,132,view_mdccupload
529,Can add drawing upload,133,add_drawingupload
530,Can change drawing upload,133,change_drawingupload
531,Can delete drawing upload,133,delete_drawingupload
532,Can view drawing upload,133,view_drawingupload
533,Can add rfi field activity,134,add_rfifieldactivity
534,Can change rfi field activity,134,change_rfifieldactivity
535,Can delete rfi field activity,134,delete_rfifieldactivity
536,Can view rfi field activity,134,view_rfifieldactivity
537,Can add data sheet upload,135,add_datasheetupload
538,Can change data sheet upload,135,change_datasheetupload
539,Can delete data sheet upload,135,delete_datasheetupload
540,Can view data sheet upload,135,view_datasheetupload
541,Can add items product,136,add_itemsproduct
542,Can change items product,136,change_itemsproduct
543,Can delete items product,136,delete_itemsproduct
544,Can view items product,136,view_itemsproduct
545,Can add inspection outcome document,137,add_inspectionoutcomedocument
546,Can change inspection outcome document,137,change_inspectionoutcomedocument
547,Can delete inspection outcome document,137,delete_inspectionoutcomedocument
548,Can view inspection outcome document,137,view_inspectionoutcomedocument
549,Can add vendor,138,add_vendor
550,Can change vendor,138,change_vendor
551,Can delete vendor,138,delete_vendor
552,Can view vendor,138,view_vendor
553,Can add specification upload,139,add_specificationupload
554,Can change specification upload,139,change_specificationupload
555,Can delete specification upload,139,delete_specificationupload
556,Can view specification upload,139,view_specificationupload
557,Can add inspection outcome,140,add_inspectionoutcome
558,Can change inspection outcome,140,change_inspectionoutcome
559,Can delete inspection outcome,140,delete_inspectionoutcome
560,Can view inspection outcome,140,view_inspectionoutcome
561,Can add quality inspection,141,add_qualityinspection
562,Can change quality inspection,141,change_qualityinspection
563,Can delete quality inspection,141,delete_qualityinspection
564,Can view quality inspection,141,view_qualityinspection
565,Can add quality dossier upload,142,add_qualitydossierupload
566,Can change quality dossier upload,142,change_qualitydossierupload
567,Can delete quality dossier upload,142,delete_qualitydossierupload
568,Can view quality dossier upload,142,view_qualitydossierupload
569,Can add mqap upload,143,add_mqapupload
570,Can change mqap upload,143,change_mqapupload
571,Can delete mqap upload,143,delete_mqapupload
572,Can view mqap upload,143,view_mqapupload
573,Can add observation report document,144,add_observationreportdocument
574,Can change observation report document,144,change_observationreportdocument
575,Can delete observation report document,144,delete_observationreportdocument
576,Can view observation report document,144,view_observationreportdocument
577,Can add observation report,145,add_observationreport
578,Can change observation report,145,change_observationreport
579,Can delete observation report,145,delete_observationreport
580,Can view observation report,145,view_observationreport
581,Can add hoto document,146,add_hotodocument
582,Can change hoto document,146,change_hotodocument
583,Can delete hoto document,146,delete_hotodocument
584,Can view hoto document,146,view_hotodocument
585,Can add documents for hoto,147,add_documentsforhoto
586,Can change documents for hoto,147,change_documentsforhoto
587,Can delete documents for hoto,147,delete_documentsforhoto
588,Can view documents for hoto,147,view_documentsforhoto
589,Can add user assign,148,add_userassign
590,Can change user assign,148,change_userassign
591,Can delete user assign,148,delete_userassign
592,Can view user assign,148,view_userassign
593,Can add completed punch file,149,add_completedpunchfile
594,Can change completed punch file,149,change_completedpunchfile
595,Can delete completed punch file,149,delete_completedpunchfile
596,Can view completed punch file,149,view_completedpunchfile
597,Can add punch file,150,add_punchfile
598,Can change punch file,150,change_punchfile
599,Can delete punch file,150,delete_punchfile
600,Can view punch file,150,view_punchfile
601,Can add punch points raise,151,add_punchpointsraise
602,Can change punch points raise,151,change_punchpointsraise
603,Can delete punch points raise,151,delete_punchpointsraise
604,Can view punch points raise,151,view_punchpointsraise
605,Can add completed punch points,152,add_completedpunchpoints
606,Can change completed punch points,152,change_completedpunchpoints
607,Can delete completed punch points,152,delete_completedpunchpoints
608,Can view completed punch points,152,view_completedpunchpoints
609,Can add verify punch points,153,add_verifypunchpoints
610,Can change verify punch points,153,change_verifypunchpoints
611,Can delete verify punch points,153,delete_verifypunchpoints
612,Can view verify punch points,153,view_verifypunchpoints
613,Can add vendor file upload,154,add_vendorfileupload
614,Can change vendor file upload,154,change_vendorfileupload
615,Can delete vendor file upload,154,delete_vendorfileupload
616,Can view vendor file upload,154,view_vendorfileupload
617,Can add project progress,155,add_projectprogress
618,Can change project progress,155,change_projectprogress
619,Can delete project progress,155,delete_projectprogress
620,Can view project progress,155,view_projectprogress
621,Can add land rejected report attachment,156,add_landrejectedreportattachment
622,Can change land rejected report attachment,156,change_landrejectedreportattachment
623,Can delete land rejected report attachment,156,delete_landrejectedreportattachment
624,Can view land rejected report attachment,156,view_landrejectedreportattachment
625,Can add document,157,add_document
626,Can change document,157,change_document
627,Can delete document,157,delete_document
628,Can view document,157,view_document
629,Can add document category,158,add_documentcategory
630,Can change document category,158,change_documentcategory
631,Can delete document category,158,delete_documentcategory
632,Can view document category,158,view_documentcategory
